transcript_id,LNCaP_DHT_RNA_rep1,LNCaP_DHT_RNA_rep2,LNCaP_Veh_RNA_rep1,LNCaP_Veh_RNA_rep2
NM_001184786,1178,401,0,266
NM_001184785,862,2,0,1
NM_020721,16,12,6,21
NM_001206932_3,0,0,0,0
NM_001287758,212,174,185,231
NM_001164283,4,10,9,5
NM_021828,0,0,0,0
NM_001287759,0,0,0,0
NM_021821,15924,15802,12815,13382
NM_021822,78,70,80,84
NM_021823,557,475,526,621
NM_021824,2639,3345,3698,3575
NM_021825,2353,1526,1582,1712
NM_021826,6985,7057,7370,7511
NM_021827,0,0,0,0
NR_106753,0,0,0,0
NM_078468,5241,5308,5457,5594
NM_078469,5750,5916,5736,5860
NM_145858,5478,5520,4499,4554
NM_145859,5452,5129,5961,6060
NM_001289021,0,0,0,0
NM_177537_2,188,0,137,134
NR_106752,0,0,0,0
NM_001100916,14,12,18,21
NM_001100917,0,0,0,0
NM_001100915,24,12,19,14
NM_001100912,810,924,1037,921
NM_001100913,9,3,4,13
NM_001100910,757,743,834,878
NM_033387,651,661,712,721
NR_026575,166,141,124,142
NR_033380_2,69,63,45,60
NM_002346_2,180,189,132,256
NM_001171630,39,174,155,52
NR_026578,7190,7204,8264,8401
NM_001286234,0,0,0,0
NM_001286235,0,0,0,0
NM_001286236,0,0,0,0
NM_001286237,0,0,0,0
NM_001286230,1033,1156,651,987
NM_001286233,10,18,3,0
NM_001286238,302,306,273,453
NM_001286239,0,0,0,0
NR_106750,0,0,0,0
NM_001204418,0,0,0,0
NM_001204419,0,0,0,0
NM_001204416,0,0,0,0
NM_001204417,0,0,0,0
NM_001204414,0,0,0,0
NM_001204415,0,0,0,0
NM_001204410,1253,225,162,1045
NR_110545,0,0,0,0
NR_110544,0,0,0,0
NR_110547,0,0,0,0
NR_110546,15,18,11,0
NR_110886_5,31,0,108,213
NR_110886_4,15,0,72,167
NM_001105247,595,380,601,635
NR_110886_6,4,50,4,46
NM_001105249,0,0,0,0
NM_001105248,0,112,0,0
NM_015595_2,12732,12730,7424,7411
NR_110549,24,26,18,19
NR_110548,0,0,0,0
NM_030966_2,0,0,0,0
NM_001289025,0,0,0,0
NM_138733,5,0,7,2
NR_106756,1,1,1,1
