gene_id,LNCaP_DHT_RNA_rep1_batch,LNCaP_DHT_RNA_rep2_batch,LNCaP_Veh_RNA_rep1_batch,LNCaP_Veh_RNA_rep2_batch
MIR5682|MIR5682,0.071671,0.176399,0.453412,0.249974
MIR1266|MIR1266,0.069074,0.054175,0.0,0.0
MUL1|MUL1,12.365155,12.540107,11.075212,11.405768
LINC01370|LINC01370,0.01413,0.036353,0.0,0.0
ZNF705A|ZNF705A,0.004815,0.007906,0.005779,0.005539
MIR93|MIR93,0.137655,0.236759,0.225059,0.17217
SLC15A3|SLC15A3,0.042159,0.035337,0.0,0.028274
C1orf116|C1orf116,43.375023,44.198152,16.312772,17.174333
SLC43A1|SLC43A1,8.224695,8.402732,5.862698,5.912544
FTO-IT1|FTO-IT1,0.49148,0.423997,0.323857,0.439056
LINC00619|LINC00619,0.0,0.0,0.0,0.0
ZNF708|ZNF708,7.339742,7.471381,7.390317,7.787151999999999
TRPM8|TRPM8,1.010309,0.975935,0.281211,0.287514
GCSAM|GCSAM,0.027991,0.024068,0.04103,0.030377
PCDH11X|PCDH11X,6.052158,6.174408,5.876449,6.0321880000000005
CHMP6|CHMP6,3.744798,3.83942,3.058228,3.044221
UGT1A1|UGT1A1,0.0,0.02649,0.008553,0.005693
SIRT1|SIRT1,18.275401,18.435025000000003,15.947420999999999,16.433487
TMEM171|TMEM171,0.051256,0.091538,0.060783000000000004,0.065674
USP22|USP22,217.707962,222.861343,196.707275,200.911942
MAPK7|MAPK7,1.193128,1.1216059999999999,0.858419,0.768898
AIF1|AIF1,0.15784700000000002,0.21864599999999998,0.167567,0.17494800000000002
IL1F10|IL1F10,0.340429,0.269439,0.281842,0.12065
APBB1|APBB1,4.964618,4.715046999999999,4.775177,4.438670999999999
ARPC5L|ARPC5L,20.398849,20.633297,20.172012,21.122089
SIGLEC11|SIGLEC11,0.0,0.0,0.0,0.0
TRNP1|TRNP1,2.117696,2.118811,1.841221,1.665677
MIR149|MIR149,0.0,0.0,0.0,0.0
KAT8|KAT8,13.608043,13.285263,12.357218,12.712787
PRH1|PRH1,2.449145,3.334307,1.810619,1.487098
ENOSF1|ENOSF1,7.488039,7.46251,7.041765,7.176423
PNPT1|PNPT1,13.442846,13.139288,12.481463,13.179678
TMEM150C|TMEM150C,0.267745,0.267285,0.224263,0.208923
PP14571|PP14571,0.066222,0.070246,0.05279,0.04839
B3GALNT1|B3GALNT1,0.0,0.003378,0.0,0.0
PRDM5|PRDM5,0.004383,0.0,0.0,0.00222
C20orf166-AS1|C20orf166-AS1,0.0,0.0,0.0,0.0
MIR485|MIR485,0.0,0.0,0.0,0.0
RPL36A|RPL36A,281.30184099999997,272.670291,245.961113,247.90339
TDRD6|TDRD6,0.045547,0.052912,0.060674,0.061743
TMEM207|TMEM207,0.0,0.0,0.0,0.008206
MIR4636|MIR4636,0.0,0.0,0.0,0.0
PLEKHS1|PLEKHS1,0.205579,0.19049300000000002,0.127117,0.19814900000000002
PROSER1|PROSER1,4.344773,4.524679,4.398507,4.667682
CBWD5|CBWD5,31.278057999999994,32.564285999999996,26.826528999999997,23.220256
PLEKHA4|PLEKHA4,0.0,0.0,0.0,0.0
SCAPER|SCAPER,7.495814,7.56467,7.369357,7.523925
TNS2|TNS2,1.2248269999999999,1.201713,1.21959,1.293683
DVL2|DVL2,3.660425,3.672129,3.203925,3.20564
NOP10|NOP10,55.415985,54.846401,44.485664,45.906845
MIR183|MIR183,0.0,0.0,0.0,0.0
ZNF385D-AS1|ZNF385D-AS1,0.0,0.0,0.0,0.0
DNAH3|DNAH3,0.015755,0.018219,0.018125,0.021489
ATP5F1|ATP5F1,53.209839,54.549198,46.512905,48.06361
LOC100289561|LOC100289561,1.082431,0.943001,1.103949,1.269098
DDX47|DDX47,27.685085,29.010998999999998,26.533091,26.928474
GLDN|GLDN,0.013838,0.004815,0.010228,0.007826
AFF4|AFF4,44.241863,45.163544,40.729153,42.540611
CLDN11|CLDN11,0.004203,0.0,0.015676,0.006451
LINC01555|LINC01555,0.0,0.004222,0.0,0.005229
CNEP1R1|CNEP1R1,3.51121,3.496099,3.031332,3.207532
